Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons,
18-09-17,78724,Residential,19120700,
20-11-13,78724,Irrigation - Multi-Family,,
30-05-09,78725,Multi-Family,255900,
03-07-18,78725,Residential,2099200,
27-05-10,78726,Residential,16862400,
08-04-19,78726,Irrigation - Residential,32100,
31-07-10,78726,Irrigation - Multi-Family,2657700,
26-08-14,78726,Multi-Family,11272400,
13-03-15,78727,Irrigation - Multi-Family,3482000,
02-09-18,78727,Multi-Family,19733400,
24-02-13,78727,Irrigation - Residential,5600,
01-02-19,78727,Residential,37528200,
29-09-16,78728,Residential,4507800,
20-02-16,78728,Irrigation - Multi-Family,865000,
15-05-17,78728,Multi-Family,6612100,
25-06-17,78729,Residential,20768500,
28-09-13,78729,Irrigation - Residential,1800,
17-07-15,78729,Multi-Family,21898400,
15-07-15,78729,Irrigation - Multi-Family,1615200,
21-09-15,78730,Irrigation - Residential,152600,
31-07-18,78730,Irrigation - Multi-Family,1550400,
02-12-15,78730,Residential,7678500,
08-03-11,78730,Multi-Family,4138100,
04-04-19,78731,Multi-Family,18366900,
27-05-17,78731,Irrigation - Multi-Family,485000,
23-04-18,78731,Residential,57446900,
16-08-14,78731,Irrigation - Residential,321800,
16-09-11,78732,Residential,4400,
10-03-12,78733,Residential,28800,
05-03-10,78735,Residential,22963500,
29-04-09,78735,Irrigation - Multi-Family,1026000,
17-06-14,78735,Multi-Family,9834000,
07-10-17,78736,Multi-Family,2132600,
11-12-11,78736,Irrigation - Multi-Family,174800,
08-04-12,78736,Irrigation - Residential,13900,
17-12-17,78736,Residential,13013100,
02-05-18,78737,Irrigation - Residential,2700,
22-02-18,78737,Residential,5424200,
02-08-16,78738,Residential,7400,
03-01-15,78739,Irrigation - Residential,,
08-08-10,78739,Residential,34892000,
31-10-18,78741,Multi-Family,76021300,
18-11-15,78741,Irrigation - Residential,4300,
04-06-19,78741,Irrigation - Multi-Family,1590900,
16-11-13,78741,Residential,17964489,
03-06-09,78742,Multi-Family,781800,
28-09-16,78742,Residential,507500,
10-07-13,78744,Irrigation - Residential,500,
17-05-19,78744,Multi-Family,21669700,
23-08-19,78744,Residential,48425600,
12-06-14,78744,Irrigation - Multi-Family,231400,
29-01-16,78745,Multi-Family,27645700,
30-10-09,78745,Irrigation - Multi-Family,1525200,
26-09-12,78745,Residential,72753500,
24-06-09,78745,Irrigation - Residential,27000,
17-05-10,78746,Irrigation - Multi-Family,614800,
08-03-18,78746,Residential,29137600,
04-07-16,78746,Multi-Family,11485800,
24-10-14,78746,Irrigation - Residential,282000,
12-03-12,78747,Irrigation - Residential,70800,
03-07-09,78747,Multi-Family,6711000,
13-06-18,78747,Irrigation - Multi-Family,430600,
13-07-18,78747,Residential,21076600,
28-06-13,78748,Irrigation - Multi-Family,2148900,
18-08-15,78748,Multi-Family,14419500,
31-08-13,78748,Irrigation - Residential,2000,
18-09-10,78748,Residential,64348400,
18-06-18,78749,Multi-Family,15889100,
02-09-11,78749,Irrigation - Multi-Family,2882600,
23-12-18,78749,Residential,63918100,
22-01-12,78749,Irrigation - Residential,3500,
28-05-09,78750,Irrigation - Multi-Family,1042200,
17-04-13,78750,Multi-Family,12680800,
19-03-16,78750,Irrigation - Residential,19800,
01-04-17,78750,Residential,53511900,
06-01-09,78751,Irrigation - Multi-Family,316300,
17-09-15,78751,Residential,15286900,
29-01-10,78751,Multi-Family,12612100,
08-03-16,78751,Irrigation - Residential,57500,
15-12-15,78752,Multi-Family,17829300,
21-07-13,78752,Irrigation - Multi-Family,56700,
03-10-15,78752,Residential,12245200,
23-05-16,78753,Irrigation - Multi-Family,2310900,
04-11-12,78753,Multi-Family,42015100,
22-06-16,78753,Residential,42246200,
05-11-16,78753,Irrigation - Residential,,
10-02-14,78754,Multi-Family,12761300,
13-07-13,78754,Irrigation - Multi-Family,1253300,
19-11-17,78754,Residential,20599300,
10-06-09,78754,Irrigation - Residential,,
11-03-13,78756,Irrigation - Multi-Family,62500,
25-02-10,78756,Residential,10648700,
02-02-18,78756,Irrigation - Residential,7200,
18-07-10,78756,Multi-Family,6533100,
06-09-09,78757,Multi-Family,13647700,
24-01-16,78757,Irrigation - Residential,59400,
28-07-14,78757,Irrigation - Multi-Family,43700,
29-06-16,78757,Residential,32413000,
16-04-12,78758,Irrigation - Multi-Family,1756600,
19-08-12,78758,Irrigation - Residential,2500,
14-05-18,78758,Multi-Family,47059900,
22-02-10,78758,Residential,41702800,
14-09-16,78759,Irrigation - Multi-Family,459000,
09-01-09,78759,Irrigation - Residential,63600,
25-03-15,78759,Residential,62767900,
12-07-19,78759,Multi-Family,32642200,
14-12-18,78613,Irrigation - Multi-Family,58000,
02-11-10,78613,Multi-Family,18500,
01-11-19,78617,Multi-Family,2784900,
22-06-18,78617,Residential,21137300,
08-10-18,78652,Irrigation - Residential,47200,
26-01-19,78652,Multi-Family,19400,
28-01-14,78652,Residential,908900,
05-11-13,78653,Multi-Family,171800,
06-06-16,78653,Residential,2270800,
18-08-17,78660,Irrigation - Residential,14200,
29-08-16,78660,Residential,8768400,
15-02-16,78660,Multi-Family,4127300,
31-12-14,78701,Multi-Family,12628400,
05-03-13,78701,Irrigation - Multi-Family,239900,
29-10-12,78701,Residential,1404000,
16-02-13,78702,Irrigation - Residential,33500,
10-09-18,78702,Residential,29290800,
25-09-12,78702,Multi-Family,8849900,
04-05-09,78702,Irrigation - Multi-Family,667300,
10-12-15,78703,Irrigation - Residential,1701700,
05-02-10,78703,Residential,65578700,
